iteration,energy_hartree,exact_energy_hartree,absolute_error_hartree
1,-1.8369679912029844,-1.8572750302023795,0.02030703899939512
2,-1.318857803119712,-1.8572750302023795,0.5384172270826675
3,-1.6233545128495352,-1.8572750302023795,0.23392051735284425
4,-1.826282068955355,-1.8572750302023795,0.030992961247024553
5,-1.7674630743255406,-1.8572750302023795,0.08981195587683888
6,-1.8533158598760922,-1.8572750302023795,0.003959170326287342
7,-1.8569892646841204,-1.8572750302023795,0.0002857655182590957
8,-1.8479308833736432,-1.8572750302023795,0.0093441468287363
9,-1.8540473584387318,-1.8572750302023795,0.003227671763647688
10,-1.8572656786724313,-1.8572750302023795,9.35152994818722e-06
11,-1.8567451140288798,-1.8572750302023795,0.0005299161734997337
12,-1.857105005147282,-1.8572750302023795,0.00017002505509755572
13,-1.857271294679177,-1.8572750302023795,3.7355232025415575e-06
14,-1.857255421844805,-1.8572750302023795,1.9608357574529833e-05
15,-1.8572745609011627,-1.8572750302023795,4.6930121677668524e-07
16,-1.857274713639109,-1.8572750302023795,3.165632704860144e-07
17,-1.8572736224509219,-1.8572750302023795,1.407751457627171e-06
18,-1.8572749673439857,-1.8572750302023795,6.285839382336178e-08
19,-1.8572750264559559,-1.8572750302023795,3.746423615780259e-09
20,-1.8572748909750039,-1.8572750302023795,1.392273756284368e-07
21,-1.857274983039594,-1.8572750302023795,4.716278545480179e-08
22,-1.8572750301952305,-1.8572750302023795,7.148948100166308e-12
23,-1.8572750257726858,-1.8572750302023795,4.429693722940442e-09
